N,K,Fitness,SearchMethod,Distance,CumulativeDistance,NumberOfLandscapes,StdDevFitness,AttemptedFlips,AcceptedFlips
8,0,0.6721341153,STEEPEST,2,True,100,0.0946252490439,117.0,5.95
8,0,0.674758327716,STEEPEST,1,False,100,0.0814286570509,39.84,6.54
8,0,0.65445825945,GREEDY,2,True,100,0.0806334033203,248.78,4.83
8,0,0.673513876934,GREEDY,1,False,100,0.0784826878797,39.0,3.91
8,2,0.730559351814,STEEPEST,2,True,100,0.058472080834,107.28,4.8
8,2,0.707354555323,STEEPEST,1,False,100,0.0615622535734,30.48,4.54
8,2,0.728411016402,GREEDY,2,True,100,0.0581806686443,267.0,4.39
8,2,0.690434156479,GREEDY,1,False,100,0.0665315661391,37.82,3.93
8,4,0.744001314186,STEEPEST,2,True,100,0.0527542906411,102.96,4.38
8,4,0.708984718377,STEEPEST,1,False,100,0.0554873766107,24.64,3.42
8,4,0.732717368478,GREEDY,2,True,100,0.0487439886769,284.6,4.01
8,4,0.701120959809,GREEDY,1,False,100,0.065558034954,35.9,3.28
8,7,0.739720065836,STEEPEST,2,True,100,0.0425135917483,85.68,3.78
8,7,0.681687597757,STEEPEST,1,False,100,0.0577737095812,19.52,2.49
8,7,0.732765902571,GREEDY,2,True,100,0.0461229662294,271.81,3.46
8,7,0.670886022602,GREEDY,1,False,100,0.056803137055,33.06,2.53
16,0,0.661288216486,STEEPEST,2,True,100,0.0596873553883,734.4,14.97
16,0,0.678250364408,STEEPEST,1,False,100,0.0549232881233,141.12,16.33
16,0,0.666226266085,GREEDY,2,True,100,0.0678119429551,1345.31,9.78
16,0,0.666741072603,GREEDY,1,False,100,0.0613968053398,89.47,7.66
16,2,0.729403358773,STEEPEST,2,True,100,0.0369126891921,663.68,11.76
16,2,0.705659168713,STEEPEST,1,False,100,0.0468462576289,104.16,10.43
16,2,0.728285290454,GREEDY,2,True,100,0.0399422612969,1457.35,9.34
16,2,0.702050165759,GREEDY,1,False,100,0.0471229707074,95.75,7.55
16,4,0.746248435459,STEEPEST,2,True,100,0.0379516512969,569.84,9.44
16,4,0.707185972429,STEEPEST,1,False,100,0.0418867249851,84.48,7.67
16,4,0.742015001328,GREEDY,2,True,100,0.0343648047965,1479.3,8.1
16,4,0.717611599347,GREEDY,1,False,100,0.0471537628321,96.82,6.77
16,8,0.725135415069,STEEPEST,2,True,100,0.0304103796834,418.88,6.77
16,8,0.69493359323,STEEPEST,1,False,100,0.037882488306,62.4,5.36
16,8,0.7237913505,GREEDY,2,True,100,0.0296252997475,1436.45,6.28
16,8,0.685932820776,GREEDY,1,False,100,0.0394290687483,80.19,4.52
16,15,0.702722026972,STEEPEST,2,True,100,0.0245073437622,334.56,5.09
16,15,0.653087265558,STEEPEST,1,False,100,0.0322533499708,40.0,3.41
16,15,0.693815611301,GREEDY,2,True,100,0.0232503802502,1487.12,4.92
16,15,0.643604935098,GREEDY,1,False,100,0.0385067527491,73.72,3.1
N,K,Fitness,SearchMethod,Distance,CumulativeDistance,NumberOfLandscapes,StdDevFitness,AttemptedFlips,AcceptedFlips
N,K,Fitness,SearchMethod,Distance,CumulativeDistance,NumberOfLandscapes,StdDevFitness,AttemptedFlips,AcceptedFlips
24,0,0.677982642897,STEEPEST,2,True,100,0.0440658940649,2172.0,26.28
24,0,0.665504731577,STEEPEST,2,False,100,0.0528651215454,2205.0,26.01
24,0,0.665865217924,STEEPEST,1,False,100,0.0520650850688,312.72,29.14
24,0,0.673988322653,STEEPEST,1,True,100,0.0510742395291,307.44,28.08
N,K,Fitness,SearchMethod,Distance,CumulativeDistance,NumberOfLandscapes,StdDevFitness,AttemptedFlips,AcceptedFlips
24,0,0.677982642897,STEEPEST,2,True,100,0.0440658940649,2172.0,26.28
24,0,0.665504731577,STEEPEST,2,False,100,0.0528651215454,2205.0,26.01
24,0,0.665865217924,STEEPEST,1,False,100,0.0520650850688,312.72,29.14
24,0,0.673988322653,STEEPEST,1,True,100,0.0510742395291,307.44,28.08
